 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
  23   6     0.01  -0.00  -0.12    -0.04  -0.02  -0.18     0.01  -0.02   0.12
  24   6     0.01  -0.00  -0.12    -0.05  -0.03  -0.14     0.02  -0.02   0.10
  25   6     0.01   0.01  -0.08    -0.04  -0.03  -0.04     0.01  -0.01   0.08
  26   6     0.01   0.01  -0.05    -0.02  -0.03   0.01     0.00  -0.01   0.08
  27   1     0.00   0.00  -0.02    -0.00  -0.00  -0.05    -0.00  -0.01   0.04
  28   1     0.00  -0.00  -0.04    -0.01  -0.01  -0.07     0.00  -0.01   0.04
  29   1     0.00  -0.00  -0.04    -0.02  -0.01  -0.05     0.01  -0.01   0.03
  30   1     0.00   0.01  -0.01    -0.00  -0.01   0.03    -0.00  -0.00   0.02
  31   6     0.01   0.01  -0.08    -0.06  -0.04   0.01     0.02  -0.01   0.06
  32   6     0.02   0.02  -0.10    -0.03  -0.03  -0.05     0.02  -0.01   0.05
  33   6     0.02   0.01  -0.09    -0.03  -0.03  -0.02     0.02  -0.00   0.03
  34   7     0.01   0.01  -0.06    -0.07  -0.04   0.07     0.03  -0.00   0.03
  35   6    -0.00  -0.00  -0.04    -0.09  -0.06   0.12     0.03  -0.00   0.03
  36   6    -0.00  -0.00  -0.05    -0.09  -0.06   0.10     0.02  -0.01   0.04
  37   1     0.01   0.01  -0.04    -0.00  -0.00  -0.03     0.00  -0.00   0.02
  38   1     0.01   0.01  -0.03    -0.00  -0.00  -0.02     0.01  -0.00   0.01
  39   1    -0.00  -0.00  -0.00    -0.04  -0.02   0.05     0.01   0.00   0.00
  40   1    -0.00  -0.00  -0.01    -0.04  -0.02   0.04     0.01  -0.00   0.01
  41   6     0.01  -0.01  -0.00     0.01   0.01  -0.00     0.11  -0.02  -0.02
  42   6    -0.02  -0.02   0.01    -0.03   0.01  -0.02     0.11  -0.02  -0.03
  43   6    -0.06  -0.01   0.01    -0.06   0.01  -0.03     0.11  -0.02  -0.03
  44   6    -0.10  -0.01   0.01    -0.11   0.01  -0.02     0.16  -0.02  -0.04
  45   6    -0.14  -0.01   0.01    -0.14   0.02  -0.03     0.17  -0.02  -0.04
  46   6    -0.15   0.00   0.01    -0.13   0.02  -0.04     0.13  -0.02  -0.03
  47   6    -0.12  -0.00   0.01    -0.09   0.03  -0.04     0.08  -0.01  -0.03
  48   6    -0.12   0.01   0.01    -0.08   0.03  -0.05     0.04  -0.00  -0.02
  49   6    -0.09   0.01   0.00    -0.03   0.04  -0.05     0.00   0.00  -0.01
  50   7    -0.05  -0.00   0.01    -0.00   0.03  -0.05    -0.01   0.01  -0.02
  51   6    -0.04  -0.01   0.01    -0.01   0.02  -0.04     0.03   0.00  -0.02
  52   6    -0.07  -0.01   0.01    -0.06   0.02  -0.03     0.07  -0.01  -0.03
  53   1    -0.03  -0.01   0.00    -0.03   0.00  -0.01     0.06  -0.01  -0.01
  54   1    -0.05  -0.00   0.00    -0.05   0.00  -0.01     0.06  -0.01  -0.01
  55   1    -0.05   0.00   0.00    -0.05   0.01  -0.01     0.04  -0.01  -0.01
  56   1    -0.04   0.00   0.00    -0.03   0.01  -0.02     0.01  -0.00  -0.00
  57   1    -0.03   0.00   0.00    -0.01   0.01  -0.02    -0.01   0.00  -0.00
  58   1    -0.00  -0.01   0.00     0.00   0.00  -0.01     0.01   0.00  -0.01
  59   6     0.05  -0.01  -0.01     0.05   0.02   0.01     0.11  -0.02  -0.01
  60   6     0.08  -0.00  -0.02     0.14   0.01   0.00     0.12  -0.02  -0.01
  61   6     0.11   0.00  -0.02     0.19   0.02   0.02     0.12  -0.02  -0.00
  62   6     0.11  -0.00  -0.03     0.14   0.03   0.04     0.10  -0.02   0.00
  63   6     0.08  -0.01  -0.02     0.04   0.03   0.04     0.08  -0.01   0.00
  64   6     0.05  -0.01  -0.01    -0.00   0.03   0.03     0.08  -0.01  -0.01
  65   1     0.02  -0.00  -0.00     0.05   0.00  -0.00     0.04  -0.01  -0.01
  66   1     0.04   0.00  -0.01     0.08   0.00   0.00     0.04  -0.01  -0.00
  67   1     0.04   0.00  -0.01     0.05   0.01   0.01     0.03  -0.01   0.00
  68   1     0.01  -0.01  -0.00    -0.02   0.01   0.01     0.02  -0.00  -0.00
  69   6     0.08  -0.01  -0.02     0.00   0.04   0.06     0.06  -0.01   0.01
  70   6     0.10  -0.02  -0.03     0.05   0.02   0.02     0.05  -0.01   0.01
  71   6     0.09  -0.01  -0.03     0.02   0.02   0.03     0.04  -0.00   0.02
  72   7     0.06  -0.01  -0.01    -0.06   0.04   0.07     0.03  -0.00   0.02
  73   6     0.04   0.00  -0.00    -0.11   0.06   0.11     0.03  -0.00   0.02
  74   6     0.05   0.00  -0.01    -0.08   0.06   0.10     0.05  -0.01   0.02
  75   1     0.03  -0.01  -0.01     0.03   0.00  -0.00     0.02  -0.00   0.00
  76   1     0.03  -0.01  -0.01     0.02   0.00   0.00     0.01  -0.00   0.01
  77   1     0.00   0.00   0.00    -0.05   0.02   0.04     0.01  -0.00   0.01
  78   1     0.01   0.00   0.00    -0.04   0.02   0.04     0.01  -0.00   0.01
  79   6     0.00   0.01  -0.01    -0.01   0.02  -0.00     0.02   0.01  -0.12
  80   6     0.01   0.01   0.03    -0.03   0.02  -0.02     0.02   0.01  -0.13
  81   6     0.01   0.01   0.08    -0.03   0.02  -0.04     0.02   0.01  -0.13
  82   6     0.01   0.01   0.13    -0.04   0.02  -0.07     0.02   0.02  -0.19
  83   6     0.02   0.00   0.18    -0.04   0.02  -0.08     0.03   0.02  -0.19
  84   6     0.03  -0.01   0.19    -0.04   0.02  -0.07     0.02   0.01  -0.15
  85   6     0.02  -0.01   0.14    -0.04   0.03  -0.04     0.02   0.01  -0.09
  86   6     0.03  -0.02   0.14    -0.05   0.03  -0.02     0.02   0.00  -0.05
  87   6     0.03  -0.02   0.09    -0.04   0.03   0.01     0.02  -0.01  -0.00
  88   7     0.02  -0.01   0.05    -0.04   0.03   0.03     0.02  -0.01   0.01
  89   6     0.01   0.00   0.04    -0.03   0.02   0.01     0.02  -0.00  -0.03
  90   6     0.02   0.00   0.09    -0.04   0.02  -0.02     0.02   0.01  -0.09
  91   1     0.00   0.00   0.04    -0.01   0.00  -0.02     0.01   0.01  -0.06
  92   1     0.01   0.00   0.06    -0.01   0.01  -0.03     0.01   0.01  -0.07
  93   1     0.01  -0.00   0.07    -0.01   0.01  -0.02     0.01   0.00  -0.05
  94   1     0.01  -0.01   0.05    -0.01   0.01  -0.01     0.00   0.00  -0.02
  95   1     0.01  -0.01   0.03    -0.01   0.01   0.01     0.00  -0.00   0.01
  96   1     0.00   0.00   0.00    -0.01   0.01   0.00     0.01  -0.00  -0.01
  97   6     0.00   0.00  -0.06     0.01   0.02   0.02     0.01   0.01  -0.12
  98   6     0.00  -0.00  -0.13     0.02   0.01   0.10     0.01   0.02  -0.14
  99   6    -0.00  -0.01  -0.18     0.04   0.02   0.13    -0.00   0.02  -0.14
 100   6    -0.01  -0.01  -0.16     0.05   0.03   0.08    -0.01   0.02  -0.11
 101   6    -0.01  -0.01  -0.09     0.04   0.03   0.00    -0.01   0.01  -0.09
 102   6    -0.00   0.00  -0.04     0.02   0.03  -0.03     0.00   0.01  -0.09
 103   1     0.00  -0.00  -0.04     0.00   0.00   0.04     0.00   0.01  -0.05
 104   1    -0.00  -0.00  -0.07     0.01   0.00   0.05    -0.00   0.01  -0.05
 105   1    -0.00  -0.01  -0.06     0.02   0.01   0.03    -0.01   0.00  -0.03
 106   1    -0.00   0.00   0.00     0.00   0.01  -0.03     0.00   0.00  -0.02
 107   6    -0.01  -0.01  -0.07     0.06   0.04  -0.04    -0.01   0.01  -0.06
 108   6     0.01   0.00  -0.11     0.04   0.03   0.00    -0.01   0.00  -0.05
 109   6     0.00   0.00  -0.09     0.04   0.03  -0.02    -0.02   0.00  -0.03
 110   7    -0.02  -0.01  -0.03     0.07   0.04  -0.09    -0.02   0.00  -0.02
 111   6    -0.04  -0.02   0.01     0.09   0.06  -0.13    -0.03   0.00  -0.02
 112   6    -0.04  -0.03  -0.01     0.09   0.06  -0.11    -0.02   0.01  -0.04
 113   1     0.01   0.00  -0.05     0.00   0.00   0.02    -0.00   0.00  -0.02
