lig,stable,preferred,plane_dev_A,plane_dev_B,plane_dev_C,plane_dev_D,sqpl_op_A,sqpl_op_B,sqpl_op_C,sqpl_op_D,lse_A,lse_B,lse_C,lse_D,energy_A,energy_B,energy_C,energy_D
5D1,True,True,0.21648886317179006,0.35907245301843815,0.0015603809571924643,0.8900227441296606,0.9244182246773521,0.9054589384054341,0.9788930946007874,0.822836094455845,57.876902266871184,39.05973229598021,32.46657190442784,41.01208531582961,80.47385670396034,23.108006095397286,0.0,31.32910554856062
5D2,False,False,0.22019385845683376,0.2000184974461403,0.23197401031132972,0.1994620517372483,0.9234516156796616,0.9144689963862608,0.929603917153115,0.929268644206684,81.3554460069281,80.84444092490594,80.73920274589909,81.66276402704534,1.6968500087969005,1.3523473525419831,0.0,4.92780900769867
4D6,False,True,0.3240742749477638,1.1948684748958998,0.2340364468486426,0.8295945985209687,0.5732015766575405,0.45669209202266864,0.8929103679431046,0.843369487650602,142.23274617560674,96.97583595858305,50.8833359782584,66.52703169520828,163.6295224223286,93.5565474871546,0.0,13.279483308433555
4D3,True,False,0.0812819048583391,0.22505926278193833,0.02866063261259911,0.4515488668110591,0.9884255772437052,0.9733125234626877,0.9889526871323183,0.9454305360707144,52.11522437474923,51.75975534890313,50.98947840050096,53.64737207160215,6.789901604061015,2.620042780181393,0.0,5.11997067858465
4D1,True,False,0.052301510503785884,0.12982940056998254,0.025024802603568652,0.24189751224661915,0.995153780755358,0.9835359721510023,0.9890055223227713,0.9838472645899775,44.52289518597536,50.473712767096,49.710157476802124,54.2708054848772,0.0,4.2404490486951545,3.0395244522951543,11.383792629698291
4D2,True,True,0.22575470404128767,0.5376358337342607,0.013045667960318141,1.169711171169473,0.5902199222577936,0.8374055696668335,0.9755633080283842,0.709692008088196,85.25675030701677,52.057554608240025,47.494580252299784,71.02637956867693,125.07408978114836,22.139840241987258,0.0,81.16901505168062
6D3,False,True,0.8885144942209786,0.40748259339885384,0.21390671696897684,0.505991895479215,0.28655992227125027,0.8041384053668735,0.8956946330679169,0.830878161422938,75.69732201189618,73.68292147212196,67.21798633126309,113.2123748868762,75.17434557667002,18.36927603825461,0.0,72.84653415542562
6D1,False,True,0.7161928119072714,0.614660487772635,0.35743478338663104,0.8604308007051074,0.2792598715505903,0.6887335399183007,0.8735558450270243,0.663253576700707,104.02138964671758,93.78105920896633,86.21526167710545,115.50151994478074,50.02636976412032,15.31510947435163,0.0,82.58441162854433
6D2,False,True,0.8455227266951448,0.8080102033048266,0.4450279985721597,0.37177379243950975,0.41122811146483784,0.4301646099414201,0.38967796221226286,0.6606720091025372,168.95746857565246,181.7298232030589,151.64427980373148,216.07962306548143,50.51937972428277,44.22105261986144,0.0,52.417415019124746
3D1,True,False,0.0642923302929921,0.14879964021381298,0.009139477977457401,0.26998261632611886,0.9927067773703566,0.9894330733025413,0.9961717643480151,0.9804549489014945,29.846729581302498,30.417788011021912,30.09399562951876,31.53491685265908,3.3860236648470163,1.4667924826499075,0.0,2.6452891654334962
3D2,False,True,0.23093011438890038,0.4193762652570908,0.18887918849378688,0.8096498371366803,0.6303857291996416,0.8269356483758861,0.9323110418320514,0.8365888313795494,72.2071456782869,73.64908632016159,79.67885700249462,71.58701683211257,35.531981426524,7.725768123171292,0.0,38.37318505265284
1D2,False,True,0.32433768254078105,0.5009866159530647,0.37918710330480343,0.6522789914492525,0.3774320573545503,0.5992028921147946,0.8856476791671555,0.877387542518221,113.38403969680076,107.81574947106128,90.78146738553187,96.85337252516183,67.32493129011709,45.70568806363735,0.0,28.87811094202334
5B4,True,True,0.22520711437045915,0.5293766711063858,0.022723428342425578,1.0171430389527756,0.7698571745856077,0.8727056486049647,0.9729058702531943,0.7528427605050759,82.63496684405254,43.73491204425227,36.39804156648461,44.46607467433205,101.82065711461473,18.54771821666509,0.0,27.233262279303744
5B6,False,False,0.30096125963858134,0.49866608937220314,0.27078525487260485,0.38553904045307524,0.7196147731528715,0.7992411055762004,0.8785055762930581,0.872614511592154,184.7578817238973,196.19043715592124,195.94621655382798,231.623808181379,10.851311338483356,0.40518638922367245,0.0,48.649225288885646
5B3,True,False,0.20266348266624234,0.26568998438621444,0.10983017870283264,0.5407574210355017,0.9337247807770804,0.9360191964688007,0.9693145719097197,0.9239097060809458,84.58155577018624,76.21726801883779,73.31600242276909,76.08579433930572,19.913630107301287,4.460476392880082,0.0,4.927551782224327
5B1,True,False,0.24987191726967858,0.3290362934887164,0.1322982726668345,0.6044440432235589,0.9036856985252166,0.9155117663675091,0.960964623215563,0.9069942007524334,94.04402339726221,89.84587412828114,87.92996899259742,90.01264536846429,23.421242087031715,6.008761967066675,0.0,5.399312885594554
5B2,False,False,0.3973903631222614,0.22818209061451,0.6230103239535991,1.3531265012134306,0.6712323541750113,0.7121536855960159,0.8059431566737937,0.2783642452585054,202.63036555674626,195.538121255202,201.664710983634,195.45994500257075,6.0656611361773685,0.0,3.532813298283145,11.613228356000036
4B6,True,True,0.1943825843422191,0.49166379083170375,0.07460722874503478,1.571226980407947,0.545997524166428,0.7355598848615945,0.9753962923333507,0.4094756030946495,160.48221044612,105.1660873410874,119.01163708727108,145.1106391347712,146.54449009918608,23.759406295255758,0.0,134.3806593111949
4B3,True,False,0.15326942541964164,0.4023865224709393,0.030016962394405766,0.6708643859739477,0.960846188963005,0.950643661988555,0.9881709812831878,0.8860593107385532,55.772711816913215,37.29841755091911,35.81151922541903,30.857616029621568,41.89963591913693,11.957764671416953,0.0,5.785626372206025
4B1,True,True,0.17255258817171093,0.412317158471902,0.020090703440502896,0.6443816778035637,0.9506340852520108,0.9386163467002996,0.9818686608063834,0.8950770114371176,51.596438492269954,38.99962697929004,34.36758063849993,35.458472026424715,50.514478876721114,15.429034261964262,0.0,7.0498562342254445
4B2,False,True,0.273660693785943,0.5859858312743454,0.2684042749015378,1.5566968605630942,0.4764654777236914,0.7572896980799096,0.9190764729522627,0.4116989952408858,172.43725734946202,99.01128687779419,100.04442283962271,82.39418736661901,118.26705420087092,16.695202373201028,0.0,96.15749363251962
6B3,False,False,0.06333876473872202,0.4940371626814404,0.7140722550204572,0.6802796704038315,0.6748145995132778,0.6771870752998398,0.8335000533016,0.5539209451962889,230.0419591132959,185.29599375720136,358.744554468547,133.15742140170187,108.8447734535439,4.401884086080827,0.0,58.3586756514851
6B1,False,False,0.3297528874432845,0.7853932795950604,0.76420080160087,0.6529770398612281,0.3917929785990721,0.640901112670656,0.6375931571995743,0.5489303552357457,176.3728775094496,192.09495045847143,348.40667631392716,155.10320636758115,0.0,0.35365488415118307,27.00101270491723,15.151242764550261
6B2,False,True,0.6011188768667206,0.8574766818302493,0.3531597694023221,0.800005201965293,0.5573421667813825,0.2742808869007154,0.3972767652140192,0.44905491314292056,295.32293352056877,331.12822286758455,287.1764800043602,282.936816061585,50.98508546105586,53.33167652983684,0.0,33.54906046623364
3B1,True,False,0.15069685010624043,0.13592352030786523,0.12253235063672197,0.18242598929622647,0.9619469906306825,0.9673728777167598,0.9736495097192593,0.9709273358447149,82.3366602382448,82.28310027986299,82.18165039792075,82.3259346401901,1.8439311569090933,0.5597033180529252,0.0,0.4024788186652586
3B2,False,True,1.6961914598683085,0.690939913812957,0.5516864398677407,0.948691570267842,0.47894034171739946,0.7554682042799175,0.8685914293380358,0.721359275963469,369.56153480298235,215.35385163448518,201.24938282353105,186.2423520500306,21.38617623411119,6.189074336318299,0.0,50.02215056994464
1B2,False,False,0.4289475504815119,0.7658472009752897,0.7235864664580314,0.9114219127484195,0.3732498328439706,0.47468832476023376,0.7576143837106072,0.4180869807049953,265.3471163982176,231.27389143437904,239.44787199483835,232.32231544640672,30.09296236402588,0.2603762698126957,0.0,22.478371080360375
5A4,True,False,0.1363770292985791,0.4427458774331362,0.04194983728704306,0.7215969419122255,0.9682990050791775,0.9295002799693007,0.9840214659628744,0.8689987128888269,74.35276987130055,62.153504476795206,55.645849009015365,57.50282268362935,39.130373240215704,12.25459470890928,4.389276679256,0.0
5A6,False,True,0.33305898874511636,0.35218137069567845,0.2219670674155401,0.3631731980670195,0.8402487746598188,0.8685844958686612,0.9054635108313227,0.8882502466740347,99.30335591518087,80.79467367185862,73.03733997352538,109.59085272793891,51.9992336651776,16.32692686188966,0.0,28.619331086520106
5A3,True,False,0.07916444606590643,0.2277900340949666,0.004613439858136558,0.40021309975093816,0.9889894938902982,0.981066204807875,0.9964373190776037,0.9574218916389632,30.612514572188957,25.683764619461726,23.822281094588106,25.089354669849854,12.812936867936514,3.5857469541952014,0.0,2.9366901020985097
5A1,True,True,0.144075400696722,0.3371187953057203,0.0029244814012989737,0.7225579066463376,0.9646291878402001,0.933434454815894,0.9854806408128338,0.8767177800284647,45.753863468184136,36.382937640009914,31.53746861027321,36.83988039774704,42.43520593259018,15.044798141927458,0.0,17.159345667110756
5A2,False,True,0.37738444724890663,0.33784236113375776,0.1840965629550766,0.44148266155724525,0.7712483805117128,0.8431512459617552,0.938430718371276,0.9038318310648922,83.15336931159254,87.53529252196313,88.08281031687511,82.01780793190119,18.980812772759236,7.299240787746385,0.0,22.091703327256255
4A6,False,True,0.1980327089777028,0.27621417463252235,0.19807639177033742,3.555395193959489,0.6392520971612236,0.8234511028804984,0.885460329237735,0.21772014240631501,138.0674046689819,82.84598684086814,44.51963702987996,71.77771585289156,148.11087535321712,44.52798917866312,0.0,117.96216462133452
4A3,True,False,0.08630242873913296,0.2171921788629153,0.0353477207889048,0.3320349300197148,0.9869908388220036,0.9766743108640998,0.9894582469880797,0.959916098808831,50.619667318300344,51.77471934148343,49.911348305264255,54.950360470451415,9.289904846344143,3.307862222660333,1.0821201779181138,0.0
4A1,True,False,0.07544589365969046,0.17122305054421008,0.0033572372405235034,0.31104917834287443,0.990008157661011,0.9864079466207784,0.994711574078058,0.97344463088782,44.61144534041523,48.57684984203661,47.94207582031959,54.53768397864769,0.023301527835428715,1.3807645437773317,0.0,6.797842449625023
4A2,True,True,0.1524976058978859,0.5248563998857315,0.009754059868534172,1.516756119627638,0.5959906512261496,0.8280021368104619,0.9705396292190726,0.41727858514820326,108.49095492975903,58.13499371887883,48.52441695556627,64.50701956922421,145.5367560547311,21.843125826097094,0.0,87.19287945644464
6A3,False,True,0.669703071216301,0.27146001200955094,0.1976326409181936,0.9059616269540482,0.4755867145368237,0.8041493134940896,0.9049696081833934,0.8152724213283555,83.00168200486223,84.730601020623,70.19549848209135,101.83648575263214,91.64147133717779,17.236288302228786,0.0,77.61936274159234
6A1,False,True,0.7958366752267476,0.5947942940469418,0.43204832808530824,1.0742444283226162,0.43085643839222126,0.7512751231544734,0.8703303270962902,0.48557437014840155,126.061417819903,83.47021108356421,83.27190312245511,99.38240667979699,110.93162302765995,17.899613103247248,0.0,92.16331134585198
6A2,False,False,0.6899565001180088,0.4563560571460208,0.5270651982214276,0.5457077915458495,0.4532108995748429,0.3940293437901683,0.4561246336672798,0.595048348998554,160.99211751268012,154.32630714695551,160.8297620852827,168.16839204973076,26.68715451436583,0.0,10.521566730341874,19.386137027060613
3A1,True,False,0.0454193476822562,0.11122412528934777,0.011519550006446446,0.19672592204459768,0.9963454528777502,0.9939138873170049,0.99676343345592,0.9894458823155347,28.025793002423597,29.150449407316046,29.019416097668,30.217148130672285,0.5728565795579925,0.5214463988086209,0.0,1.549647806910798
3A2,False,True,0.12741482578592223,0.41692293632369115,0.15387376955931661,0.89439750711741,0.6217644032899999,0.8020861055889933,0.9308055182736718,0.8038299892773496,89.7416745131195,83.89315647038165,87.80657374832663,86.73625340501894,47.56874337303452,13.903356064925902,0.0,51.5975123741664
1A2,False,True,0.20108231914218114,0.5362734575055343,0.4509691719538359,0.6776444384747667,0.5146851865900173,0.7692747536146293,0.8752047575805321,0.8674144199632123,125.83437084435718,99.37493865768192,89.00795219113934,96.7069956753694,53.73731150419917,9.248152252403088,0.0,39.685345856356435
