 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  30   6    -0.00   0.00   0.04     0.01  -0.00   0.04     0.01  -0.02   0.01
  31   1    -0.01   0.01   0.04    -0.01  -0.00   0.03    -0.02  -0.01   0.05
  32   1    -0.01   0.01   0.04    -0.01  -0.00   0.02    -0.02  -0.01   0.02
  33   1    -0.01   0.01   0.03    -0.00  -0.00  -0.00    -0.01  -0.01  -0.02
  34   1     0.00  -0.00   0.00     0.01  -0.00   0.01     0.01  -0.01  -0.00
  35   6     0.05  -0.00   0.01     0.10   0.00   0.00     0.03  -0.01  -0.06
  36   6     0.09  -0.00   0.01     0.08   0.00   0.00     0.02  -0.00  -0.05
  37   6     0.12  -0.00   0.01     0.06   0.00   0.00     0.02  -0.00  -0.05
  38   6     0.20  -0.00   0.01     0.07   0.00   0.00     0.03  -0.00  -0.05
  39   6     0.22   0.00   0.01     0.06   0.00   0.00     0.02  -0.00  -0.05
  40   6     0.16  -0.00   0.01     0.03  -0.00   0.00     0.01  -0.00  -0.05
  41   7     0.10  -0.00   0.01     0.01  -0.00   0.00    -0.01  -0.00  -0.05
  42   6     0.07  -0.00   0.01     0.03   0.00   0.00    -0.00  -0.00  -0.05
  43   1     0.07   0.00   0.00     0.03   0.00   0.00     0.01  -0.00  -0.01
  44   1     0.08   0.00   0.00     0.02   0.00   0.00     0.01  -0.00  -0.01
  45   1     0.05  -0.00   0.00     0.00  -0.00   0.00     0.00  -0.00  -0.01
  46   1     0.00  -0.00   0.00     0.00  -0.00   0.00    -0.00  -0.00  -0.02
  47   6     0.00  -0.01   0.01     0.12   0.00  -0.00     0.03  -0.01  -0.06
  48   6    -0.03  -0.02   0.02     0.16  -0.00  -0.02     0.05  -0.01  -0.07
  49   6    -0.08  -0.03   0.02     0.17  -0.00  -0.02     0.05  -0.01  -0.07
  50   6    -0.09  -0.02   0.01     0.14  -0.00  -0.02     0.04  -0.01  -0.07
  51   6    -0.06  -0.00   0.00     0.10   0.00   0.00     0.02  -0.01  -0.06
  52   6    -0.01   0.00   0.00     0.09   0.00   0.01     0.02  -0.00  -0.06
  53   1    -0.01  -0.01   0.01     0.05  -0.00  -0.01     0.02  -0.00  -0.02
  54   1    -0.03  -0.01   0.01     0.06  -0.00  -0.01     0.02  -0.00  -0.02
  55   1    -0.04  -0.01   0.00     0.04  -0.00  -0.01     0.01  -0.00  -0.02
  56   1     0.00   0.00  -0.00     0.02   0.00   0.01     0.00  -0.00  -0.02
  57   6    -0.07   0.01  -0.00     0.07   0.00   0.01     0.01  -0.00  -0.06
  58   6    -0.11   0.02  -0.02     0.08   0.00   0.02     0.01  -0.00  -0.06
  59   6    -0.12   0.03  -0.03     0.05   0.01   0.03     0.00   0.00  -0.06
  60   6    -0.09   0.02  -0.02     0.02   0.01   0.02    -0.00   0.00  -0.06
  61   7    -0.05   0.01  -0.01     0.02   0.00   0.01    -0.00  -0.00  -0.07
  62   6    -0.04   0.00   0.00     0.04   0.00   0.00     0.01  -0.00  -0.06
  63   1    -0.04   0.01  -0.01     0.03   0.00   0.01     0.01  -0.00  -0.02
  64   1    -0.04   0.01  -0.01     0.02   0.00   0.01     0.00   0.00  -0.02
  65   1    -0.03   0.01  -0.01    -0.00   0.00   0.01    -0.00   0.00  -0.02
  66   1    -0.00  -0.00   0.00     0.01   0.00  -0.00     0.00  -0.00  -0.02
  67   6    -0.01  -0.01   0.04     0.01  -0.00  -0.13    -0.01   0.01   0.13
  68   6    -0.00  -0.01   0.08     0.01  -0.00  -0.10    -0.02   0.01   0.09
  69   6    -0.00  -0.01   0.11     0.01  -0.00  -0.07    -0.02   0.01   0.06
  70   6    -0.01  -0.01   0.19     0.01  -0.00  -0.09    -0.02   0.01   0.08
  71   6    -0.01  -0.01   0.22     0.01  -0.00  -0.07    -0.02   0.01   0.05
  72   6    -0.01  -0.01   0.16     0.01  -0.00  -0.03    -0.01   0.01  -0.01
  73   7    -0.00  -0.01   0.10     0.01  -0.00  -0.01    -0.02   0.01  -0.04
  74   6    -0.00  -0.01   0.07     0.01  -0.00  -0.03    -0.02   0.01  -0.00
