Entry,Index,NAME,Query,Fragment,ANG1,ANG2,ANG3,ANG4,DIST1,DIST2,DIST3,DIST4,NNNN,PDPL1,PDPL2,PDPL3,PDPL4,V1,V2,abs(N1_PLA),abs(N2_PLA),abs(N3_PLA),abs(N4_PLA),abs(PD_PLA)
npd_t4_aromatic|LOWHUC|72,73,LOWHUC,1,1,92.674,180.0,92.674,180.0,2.038,2.027,2.027,2.038,0.0,88.52,86.792,86.792,88.52,87.326,87.326,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|LUGDIA|73,74,LUGDIA,1,1,175.027,84.549,175.027,80.411,1.975,2.079,2.079,1.975,-170.884,82.503,78.228,78.228,82.503,97.7,97.7,0.083,0.083,0.076,0.076,0.0
npd_t4_aromatic|LUGDIA|74,75,LUGDIA,1,2,96.584,80.517,96.584,86.581,2.038,2.016,2.016,2.038,5.855,86.421,87.11,87.11,86.421,175.06,175.06,0.066,0.066,0.071,0.071,0.0
npd_t4_aromatic|LUGDIA|75,76,LUGDIA,1,3,88.666,96.375,76.972,97.774,1.925,2.021,2.026,1.999,1.059,89.638,82.557,86.59,77.967,173.241,172.889,0.004,0.027,0.001,0.027,0.05
npd_t4_aromatic|LUGDIA|76,77,LUGDIA,1,4,87.618,95.679,82.101,94.521,1.978,2.037,2.001,2.007,1.651,87.557,85.168,80.707,87.334,174.976,177.496,0.014,0.03,0.012,0.031,0.035
npd_t4_aromatic|LUWJOC|77,78,LUWJOC,1,1,95.393,82.316,95.393,86.916,2.081,2.015,2.015,2.081,-1.505,84.232,88.523,88.523,84.232,177.487,177.487,0.017,0.017,0.019,0.019,0.0
npd_t4_aromatic|LUWJOC|78,79,LUWJOC,1,2,97.021,80.312,96.868,85.939,2.043,1.981,1.983,2.041,-4.264,89.432,86.682,86.627,89.512,176.023,175.998,0.047,0.048,0.051,0.052,0.001
npd_t4_aromatic|LUWJOC|79,80,LUWJOC,1,3,175.675,96.579,175.251,97.047,2.064,2.049,2.006,2.034,179.387,88.677,89.848,88.623,85.216,81.48,84.579,0.02,0.01,0.01,0.021,0.06
npd_t4_aromatic|LUWJOC|80,81,LUWJOC,1,4,175.147,81.485,176.666,87.439,2.023,2.024,1.967,2.049,178.569,80.14,89.829,85.418,89.767,93.888,97.103,0.02,0.004,0.005,0.021,0.032
npd_t4_aromatic|LUWJUI|81,82,LUWJUI,1,1,86.918,95.932,81.25,95.886,1.992,2.014,1.996,2.031,-0.684,89.457,88.165,87.421,80.022,176.757,177.147,0.006,0.012,0.005,0.013,0.014
npd_t4_aromatic|LUWJUI|82,83,LUWJUI,1,2,85.844,175.901,81.218,177.559,2.001,2.03,2.018,2.02,-1.645,87.498,85.986,84.243,86.379,96.473,96.415,0.015,0.014,0.029,0.03,0.03
npd_t4_aromatic|LUWJUI|83,84,LUWJUI,1,3,85.656,176.83,79.94,176.83,2.016,2.022,2.016,2.022,-1.774,88.189,88.189,86.194,86.194,97.218,97.218,0.025,0.023,0.023,0.025,0.0
npd_t4_aromatic|LUWJUI|84,85,LUWJUI,1,4,98.037,79.465,98.037,85.508,2.043,1.993,1.993,2.043,11.687,86.678,83.623,83.623,86.678,171.711,171.711,0.13,0.13,0.141,0.141,0.0
npd_t4_aromatic|MAMDAH|85,86,MAMDAH,1,1,89.922,176.979,88.505,178.642,2.038,2.039,2.019,2.032,2.058,87.38,89.129,88.078,89.614,90.137,91.433,0.021,0.021,0.031,0.032,0.022
