 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
  29   1     0.02   0.01   0.08    -0.01   0.00  -0.01     0.04   0.00   0.05
  30   1    -0.01   0.00   0.02    -0.00  -0.00  -0.01     0.01  -0.00  -0.00
  31   6     0.02   0.01   0.11    -0.02   0.00   0.01     0.08   0.00   0.04
  32   6     0.03   0.02   0.02    -0.02   0.00   0.03     0.09   0.01  -0.02
  33   6     0.02   0.02  -0.03    -0.02   0.00   0.05     0.08   0.00  -0.06
  34   7    -0.01   0.01   0.00    -0.01   0.00   0.05     0.07  -0.00  -0.04
  35   6    -0.02   0.01   0.08    -0.01  -0.00   0.03     0.06  -0.00   0.02
  36   6    -0.01   0.01   0.13    -0.01  -0.00   0.01     0.07  -0.00   0.06
  37   1     0.01   0.01  -0.00    -0.01   0.00   0.01     0.03   0.00  -0.01
  38   1     0.01   0.00  -0.03    -0.01   0.00   0.02     0.03   0.00  -0.03
  39   1    -0.01   0.00   0.03    -0.00  -0.00   0.01     0.01  -0.00   0.01
  40   1    -0.01   0.00   0.06    -0.00  -0.00   0.00     0.02  -0.00   0.03
  41   6     0.11   0.00  -0.03    -0.06  -0.01   0.01    -0.14   0.01  -0.02
  42   6     0.08  -0.00  -0.02    -0.09  -0.01   0.01    -0.11   0.02  -0.03
  43   6     0.04  -0.00  -0.02    -0.12  -0.02   0.01    -0.07   0.02  -0.04
  44   6     0.03  -0.01  -0.02    -0.16  -0.02   0.01    -0.10   0.03  -0.04
  45   6    -0.00  -0.01  -0.02    -0.19  -0.03   0.02    -0.07   0.03  -0.05
  46   6    -0.04  -0.01  -0.02    -0.17  -0.02   0.02    -0.02   0.02  -0.06
  47   6    -0.04  -0.01  -0.02    -0.13  -0.01   0.02     0.01   0.02  -0.05
  48   6    -0.07  -0.01  -0.02    -0.11  -0.01   0.02     0.07   0.01  -0.06
  49   6    -0.07  -0.01  -0.02    -0.08   0.00   0.02     0.09   0.00  -0.05
