name,ds_O_b97_gas,ds_pbe_cfm,ds_mp2_gas,ds_pbe_gas,ds_mp2_dcm,ds_mp2_cfm,xtbgas,ds_pbe_dcm,ds_O_mp2_gas,xtbchcl3
1_alde1_3_ami2_1,-0.003034668523317426,-0.010717383033428026,0.00013232383328916816,-0.00988431249985903,0.0007094649667275613,0.0006185777332727108,-0.04396921061832396,-0.010871495733302558,-0.014484521505664816,-0.04201924582766973
1_alde1_3_ami2_2,-0.0034365431276910385,-0.0032605930333981328,0.0009424571665779998,-0.00234391916652991,0.001294621633405768,0.001253511066579449,-0.015639441362992557,-0.003438635733270227,-0.008817579233967384,-0.015420347094670698
2_alde1_3_ami2_1,0.001102527867669778,-0.0009443428999929892,0.005550059299912391,0.0004884507001406746,0.005252260100041895,0.005387693599914201,-0.017805100869998113,-0.001303713399966,-0.005994445262194859,-0.01569190007620591
2_alde1_3_ami2_2,-0.00014695788590870506,0.0005066051000085281,0.007378781299939874,0.0015356307001184177,0.007741862100010622,0.007689677599910283,-0.013511144105399353,0.0003133866000098351,-0.006698023862236368,-0.011468775829803235
2_alde1_4_ami2_1,0.001302678936023464,-0.0015232933665174642,0.005728216499998477,-0.0002016824999676222,0.0056075499667258555,0.005694340399941211,-0.021224956222160547,-0.0018410560666476765,-0.006804652276514389,-0.01916273187017244
2_alde1_4_ami2_2,-0.0010443774943572255,-0.0007719483665672063,0.005302466500021789,0.0002726508333428986,0.0055854716333669785,0.00555152206660144,-0.013307973264493475,-0.0009730744000080449,-0.007466221874589489,-0.011731327857001853
3_alde1_4_ami2_1,-0.0002185107535979114,0.0001770968002574591,0.00711784800012083,0.0011670582498481963,0.0075639681750203636,0.007503657150039089,-0.012778378714994432,-1.165952494375233e-05,-0.006969045876530799,-0.010193681265754151
3_alde1_5_ami2_1,-0.0015568505950795952,-0.0025034356997619195,0.006200758500148772,-0.0013731747223775731,0.0064289027444728065,0.006417863511109722,-0.016649425926434307,-0.002737903955474192,-0.009411312748903179,-0.01373157114511514
3_alde1_5_ami2_2,-0.000255623963009081,6.660096692535767e-05,0.00656579072235925,0.0011900752776152028,0.006754657188897302,0.0067444779555343205,-0.012862211284660438,-0.0001576161776534314,-0.006819403210253465,-0.010822803999114209
3_alde1_6_ami2_1,-0.003801387565797793,-0.006330622810865962,0.005324212611261221,-0.005547768055748747,0.006019096633331679,0.005922546511101245,-0.025069738161770754,-0.006489146066491635,-0.013362534387245736,-0.022189120524002546
3_alde1_6_ami2_2,-0.002059189361261815,-0.0016027116997368769,0.005456494833449849,-0.0005955069445917616,0.005769539966675236,0.0057488431777730714,-0.014714997085323804,-0.0018136427331935717,-0.008458679187798326,-0.013030767246002975
4_alde1_6_ami2_1,-0.001316140114454356,-0.0012392326998072651,0.0037548186668345807,-0.00014960166690040447,0.004030549133365942,0.0040013475666758795,-0.012877133048993036,-0.0014521262332133726,-0.007777403618471605,-0.0108659792744182
1_alde1_2_ami3_1,-0.0007311126199738283,-0.007943128699935187,0.006110821499873964,-0.006919517499909489,0.00671075179991476,0.006567467399918314,-0.0399964442334948,-0.008084660899839946,-0.012716587628574416,-0.03806438052151151
1_alde1_2_ami3_2,0.0012972256230341372,0.0013282113000059326,0.007402016499895581,0.0023168525001437956,0.0077985517999650256,0.0077377473999149515,-0.011340858802491027,0.001147494100109725,-0.005479270456589802,-0.010706271094008457
1_alde1_3_ami3_1,0.0007571239806717737,-0.007010181699949196,0.006591032499954963,-0.0058638104999317875,0.006880008966618334,0.0068265707332102465,-0.03811124787332668,-0.007220171066592229,-0.01151197748034368,-0.03653986245234364
1_alde1_3_ami3_2,-0.0015301247377313605,-0.001346331700005976,0.00412670249996457,-0.0005397571665829067,0.0049222822999581695,0.004768730733227737,-0.011411703618662727,-0.0014694843999526104,-0.008329884248041708,-0.011187266422680864
2_alde1_3_ami3_1,-0.0016933910053921863,-0.0029135620999113598,0.005262664500060054,-0.0017595500999050273,0.005508226500023738,0.005461089399886987,-0.018746863083998734,-0.00311633659994186,-0.009587414730594901,-0.016656798288403253
2_alde1_3_ami3_2,-0.0025346943027216183,-0.0023294020998946507,0.003779766500065307,-0.0011616720998972596,0.003990548500041768,0.003952281399870116,-0.013477369247596016,-0.0025382365999575994,-0.009239227711987041,-0.011783490168403432
2_alde1_4_ami3_1,-0.0017433855019438245,-0.0044549513664454326,0.005944659500225195,-0.0032072061668107685,0.006037519300055767,0.00602681739989445,-0.02208538218582608,-0.004689770733345237,-0.010612454757695863,-0.01966531246167354
2_alde1_4_ami3_2,-0.0017910962112637208,-0.001710294699781419,0.004200667833553477,-0.0004831161668334971,0.004305967633399632,0.004289585733204149,-0.0130938822171629,-0.0019371607333293166,-0.008288862300484348,-0.011701672120172665
3_alde1_4_ami3_1,-0.001096630611357341,-0.000904916699767,0.0057000990001370155,0.0004112679997660962,0.005684966425064886,0.005695511149951926,-0.01329293881274296,-0.0011544955249860323,-0.007510061428547488,-0.01120058163013482
3_alde1_5_ami3_1,-0.002753034923342865,-0.00366255014422576,0.00476650516682437,-0.0025082380557756145,0.004963526077871292,0.004945588511064771,-0.016898760942770725,-0.0038889939555196585,-0.01053061631470579,-0.014380859596678243
3_alde1_5_ami3_2,-0.0029411609622103344,-0.003003947921974436,0.004655955166830002,-0.0017615169446495809,0.0047216605222881,0.004721135177735252,-0.014197577799437668,-0.003242539511069885,-0.009904843000994232,-0.011810824582454416
3_alde1_6_ami3_1,-0.004078802719808057,-0.0064618796997516865,0.004983258389074763,-0.0054877122780049425,0.00548177930007417,0.005403495177738983,-0.024092802585660895,-0.006645016288884007,-0.013371715788455023,-0.02159474728889816
