name,ds_O_b97_gas,ds_pbe_cfm,ds_mp2_gas,ds_pbe_gas,ds_mp2_dcm,ds_mp2_cfm,xtbgas,ds_pbe_dcm,ds_O_mp2_gas,xtbchcl3
3_alde1_5_ami1_2,-0.03895998745201723,-0.033553741299328976,0.04046803150095002,-0.022351027501827048,0.041319359700082714,0.041183916599948134,-0.157327619670923,-0.035599970600287634,-0.10138038962440987,-0.13267483715799244
3_alde1_6_ami1_1,-0.06779388793438557,-0.09451739930045733,0.01623781350099307,-0.08345182250195649,0.017419533700376633,0.01724823460153857,-0.2654809781448648,-0.09657592460189335,-0.1499172379844822,-0.23727237120402833
3_alde1_6_ami1_2,-0.04789569500644575,-0.04975173930051824,0.037156303501433285,-0.036707942501379875,0.03519235370185925,0.03562417460125289,-0.16283998943288225,-0.05225286460154166,-0.11033441412018874,-0.13841993760507876
4_alde1_6_ami1_1,-0.06005268136232189,-0.05615085640329198,0.01447416400151269,-0.039645200001359626,0.013678793603503436,0.013811066803100402,-0.20564582837789658,-0.059185044804507925,-0.14042984605111997,-0.1783865306450707
1_alde1_2_ami2_1,-0.008122429158902378,-0.023260560400103714,-0.002193174000012732,-0.021506167999859827,-0.0008526024000730104,-0.0010969592001401907,-0.08984949755298999,-0.023554354799898647,-0.030568508160968122,-0.08593637562101719
1_alde1_2_ami2_2,-0.00764557727097781,-0.007223318400065182,0.0014172689998304122,-0.005348804999812273,0.0021298946001024888,0.0020336467998731678,-0.03250180733098773,-0.00757377679997262,-0.01811174140084404,-0.031925704331001725
1_alde1_3_ami2_1,-0.009104005569952278,-0.03215214910028408,0.00039697149986750446,-0.029652937499577092,0.002128394900182684,0.0018557331998181326,-0.1319076318549719,-0.03261448719990767,-0.04345356451699445,-0.1260577374830092
1_alde1_3_ami2_2,-0.010309629383073116,-0.009781779100194399,0.0028273714997339994,-0.00703175749958973,0.0038838649002173042,0.0037605331997383473,-0.04691832408897767,-0.010315907199810681,-0.02645273770190215,-0.046261041284012094
2_alde1_3_ami2_1,0.00551263933834889,-0.004721714499964946,0.027750296499561955,0.002442253500703373,0.026261300500209472,0.026938467999571003,-0.08902550434999057,-0.00651856699983,-0.029972226310974293,-0.07845950038102956
2_alde1_3_ami2_2,-0.0007347894295435253,0.0025330255000426405,0.03689390649969937,0.007678153500592089,0.03870931050005311,0.038448387999551414,-0.06755572052699677,0.0015669330000491755,-0.03349011931118184,-0.057343879149016175
2_alde1_4_ami2_1,0.007816073616140784,-0.009139760199104785,0.03436929899999086,-0.001210094999805733,0.03364529980035513,0.03416604239964727,-0.1273497373329633,-0.011046336399886059,-0.040827913659086335,-0.11497639122103465
2_alde1_4_ami2_2,-0.006266264966143353,-0.004631690199403238,0.031814799000130733,0.0016359050000573916,0.03351282980020187,0.03330913239960864,-0.07984783958696084,-0.005838446400048269,-0.04479733124753693,-0.07038796714201112
3_alde1_4_ami2_1,-0.0017480860287832911,0.0014167744020596729,0.05694278400096664,0.00933646599878557,0.06051174540016291,0.06002925720031271,-0.10222702971995545,-9.327619955001865e-05,-0.055752367012246395,-0.08154945012603321
3_alde1_5_ami2_1,-0.014011655355716357,-0.022530921297857276,0.055806826501338946,-0.012358572501398157,0.057860124700255255,0.05776077159998749,-0.14984483333790877,-0.024641135599267727,-0.08470181474012861,-0.12358414030603626
3_alde1_5_ami2_2,-0.002300615667081729,0.0005994087023282191,0.05909211650123325,0.010710677498536825,0.06079191470007572,0.06070030159980888,-0.11575990156194393,-0.0014185455988808826,-0.06137462889228118,-0.09740523599202788
3_alde1_6_ami2_1,-0.03421248809218014,-0.05697560529779366,0.047917913501350995,-0.04992991250173873,0.05417186969998511,0.05330291859991121,-0.22562764345593678,-0.05840231459842471,-0.12026280948521162,-0.1997020847160229
3_alde1_6_ami2_2,-0.018532704251356336,-0.014424405297631893,0.04910845350104864,-0.005359562501325854,0.051925859700077126,0.05173958859995764,-0.13243497376791424,-0.016322784598742146,-0.07612811269018493,-0.11727690521402678
4_alde1_6_ami2_1,-0.015793681373452273,-0.014870792397687183,0.04505782400201497,-0.0017952200028048537,0.04836658960039131,0.04801617080011056,-0.15452559658791643,-0.01742551479856047,-0.09332884342165926,-0.1303917512930184
1_alde1_2_ami3_1,-0.0014622252399476565,-0.015886257399870374,0.012221642999747928,-0.013839034999818978,0.01342150359982952,0.013134934799836628,-0.0799928884669896,-0.016169321799679892,-0.025433175257148832,-0.07612876104302302
1_alde1_2_ami3_2,0.0025944512460682745,0.002656422600011865,0.014804032999791161,0.004633705000287591,0.015597103599930051,0.015475494799829903,-0.022681717604982055,0.00229498820021945,-0.010958540913179604,-0.021412542188016914
1_alde1_3_ami3_1,0.002271371942015321,-0.021030545099847586,0.01977309749986489,-0.017591431499795362,0.020640026899855002,0.02047971219963074,-0.11433374361998005,-0.021660513199776688,-0.034535932441031036,-0.10961958735703092
1_alde1_3_ami3_2,-0.004590374213194082,-0.004038995100017928,0.012380107499893711,-0.00161927149974872,0.014766846899874508,0.01430619219968321,-0.03423511085598818,-0.004408453199857831,-0.024989652744125124,-0.03356179926804259
2_alde1_3_ami3_1,-0.008466955026960932,-0.0145678104995568,0.026313322500300274,-0.008797750499525137,0.027541132500118692,0.027305446999434935,-0.09373431541999366,-0.015581682999709301,-0.047937073652974505,-0.08328399144201626
2_alde1_3_ami3_2,-0.012673471513608092,-0.011647010499473254,0.018898832500326535,-0.005808360499486298,0.019952742500208842,0.019761406999350584,-0.06738684623798008,-0.012691182999787998,-0.04619613855993521,-0.05891745084201716
2_alde1_4_ami3_1,-0.010460313011662947,-0.026729708198672597,0.03566795700135117,-0.01924323700086461,0.036225115800334606,0.0361609043993667,-0.1325122931149565,-0.02813862440007142,-0.06367472854617517,-0.11799187477004125
2_alde1_4_ami3_2,-0.010746577267582325,-0.010261768198688515,0.02520400700132086,-0.0028986970010009827,0.025835805800397793,0.025737514399224892,-0.0785632933029774,-0.0116229643999759,-0.049733173802906094,-0.07021003272103599
3_alde1_4_ami3_1,-0.008773044890858728,-0.007239333598136,0.045600792001096124,0.0032901439981287695,0.045479731400519086,0.04556408919961541,-0.10634351050194368,-0.009235964199888258,-0.0600804914283799,-0.08960465304107856
3_alde1_5_ami3_1,-0.024777314310085785,-0.03296295129803184,0.04289854650141933,-0.022574142501980532,0.044671734700841625,0.044510296599582944,-0.15208884848493653,-0.035000945599676925,-0.09477554683235212,-0.12942773637010418
3_alde1_5_ami3_2,-0.02647044865989301,-0.02703553129776992,0.04190359650147002,-0.015853652501846227,0.042494944700592896,0.04249021659961727,-0.12777820019493902,-0.029182855599628965,-0.08914358700894809,-0.10629742124208974
3_alde1_6_ami3_1,-0.03670922447827252,-0.058156917297765176,0.044849325501672865,-0.049389410502044484,0.049336013700667536,0.048631456599650846,-0.21683522327094806,-0.05980514659995606,-0.12034544209609521,-0.19435272560008343
3_alde1_6_ami3_2,-0.0519573624660552,-0.04830855729778705,0.008880585501628957,-0.04280275050223281,0.017094473701035895,0.015749516599498747,-0.13594452587796013,-0.04925743659987347,-0.11331903349309869,-0.12457487126505384
4_alde1_6_ami3_1,-0.04167450659315364,-0.04143477439902199,0.014077196002290293,-0.02651257800152962,0.015146113601986144,0.015076978800607321,-0.17116695065595877,-0.04428614680091414,-0.1187421769473076,-0.1506405471930634
1_alde1_2_ami4_1,-0.006156597428002897,-0.021312933399940448,0.002396956999973554,-0.019407989999876918,0.0033886676000065563,0.0032162597998421916,-0.08469975169200694,-0.021658412799979487,-0.028572625075980795,-0.0808243651219982
1_alde1_2_ami4_2,-0.006315054401170528,-0.0060267983999438,0.0031920960000206833,-0.0033167639998055165,0.0026378366000017195,0.0027694867998206973,-0.029549128230001998,-0.006566110800008573,-0.015628125809939775,-0.02934023416600695
1_alde1_3_ami4_1,-0.005104904238123709,-0.02865336709987787,0.005072991499901036,-0.02625482649955302,0.0066718009002215695,0.006445224199751465,-0.12409125631297968,-0.029128441199873123,-0.03939379764096884,-0.11877253756100004
1_alde1_3_ami4_2,0.0030346030380314915,0.0022043179001229873,0.0161160815000585,0.006125328500274918,0.015617839899960018,0.015684637199683493,-0.03591656987998704,0.0014971647999573179,-0.011694229754994012,-0.03518866870200554
2_alde1_3_ami4_1,-0.011194732867124912,-0.014947122499961552,0.03204625049988863,-0.009456856499809874,0.03323466649999318,0.03304045599975325,-0.1031764376849651,-0.01595090199975857,-0.047813285146048656,-0.09121410070004288
2_alde1_3_ami4_2,-0.010291990749010438,-0.008519722500068383,0.021781220499860865,-0.002626766499815858,0.022208456500038665,0.02208333599969592,-0.07079588912498025,-0.009548891999656917,-0.03859789627722421,-0.062091686053037165
2_alde1_4_ami4_1,-0.007098670205095914,-0.022190014200077712,0.032915790999823,-0.014949464999745032,0.03368018779997328,0.03367326639977364,-0.1391086575249716,-0.023679806399513836,-0.057173565225866696,-0.12574998916704772
2_alde1_4_ami4_2,-0.011666169342106514,-0.010355364199995165,0.024531260999765436,-0.002827274999845031,0.02420587780011374,0.024306296399799976,-0.08206650613897182,-0.011797906399579006,-0.04526337914103351,-0.07342744982403815
3_alde1_4_ami4_1,-0.021061554719381093,-0.018457599598605157,0.03743328600057794,-0.010500514000796102,0.04047187340074743,0.039997891200073354,-0.11538446190300533,-0.019925536199025373,-0.07080721700504,-0.09463256421503274
3_alde1_5_ami4_1,-0.028661838754032942,-0.03412493129826544,0.03970134650126056,-0.025162882501263084,0.04256155470102385,0.042145781600083865,-0.15991250958799696,-0.035819010598970635,-0.08976545473751685,-0.13677723452602208
3_alde1_5_ami4_2,-0.016100150035981642,-0.015172831298059464,0.034733956500986096,-0.0035804525014100363,0.033776894701077254,0.03405848159991365,-0.12407391948798363,-0.01744499059896043,-0.06574486450017503,-0.10794455826902549
3_alde1_6_ami4_1,-0.042787594523360895,-0.06289532129767395,0.03067831150156053,-0.05707585250138436,0.03792985170139218,0.036881924600038474,-0.2240984228990044,-0.06409847459872253,-0.11883645902526041,-0.1992925133420158
3_alde1_6_ami4_2,-0.039005475402063894,-0.03649207129774368,0.03497350150155398,-0.028732662501624873,0.03913813170129288,0.038546484599919495,-0.14074588022100443,-0.037975384598667006,-0.09113724204098617,-0.12292494914601093
4_alde1_6_ami4_1,-0.03820227865799097,-0.03902538839747649,0.011675312002353166,-0.024748990002080973,0.012516991601387417,0.012408906799464603,-0.17238946363397645,-0.04170215479871331,-0.10278311673937424,-0.15193516357604153
